P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,timestamp_milliseconds
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10571
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10607
50.0,124.91997438360288,131.88252348207476,147.35331689514152,187.5366630821824,191.04188022525324,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,39.824615503479755,24.20743687382041,10643
50.0,124.61942063739504,131.0267148332736,146.48549416239138,187.3205808233575,190.04210059878838,147.41099009232656,175.69291391516052,191.4627901186024,203.93381279228808,221.11761576138613,40.70626487409524,23.600847442411894,10679
50.0,124.32618388738553,130.17296186228538,145.6193668438371,187.1095935541521,189.04232330353963,146.82302271782856,174.77127910500627,190.53870997778904,203.49447166937975,220.95248357961492,41.593268686170845,23.021728866442675,10714
50.0,124.04031602668546,129.3213052826177,144.75496537252184,186.90371852908652,188.04254837669055,146.23952953972466,173.85051049680584,189.61540021844218,203.05910469614506,220.79175709251467,42.485291572496,22.47220505424423,10750
50.0,123.76186811776881,128.47178678604885,143.8923208513922,186.70297265978385,187.04277585621958,145.6605643267937,172.93062192682936,188.692872149427,202.62773748921938,220.6354459283458,43.382023926967726,21.95449840010015,10786
50.0,123.4908903522847,127.62444906835053,143.0314650697531,186.04300578092153,186.50737250843463,145.08618128546908,172.01162751395617,187.77113729218343,202.20039564748632,220.4835594777987,44.28317965096906,21.470910553583888,10821
50.0,123.22743201089601,126.77933585565118,142.1724305201258,185.04323819042943,186.31693428134759,144.51643505151932,171.09354166653983,186.85020738548835,201.77710474679728,220.33610689126738,45.18849411078001,21.02379604162864,10857
50.0,122.97154142320898,125.93649193144932,141.315250415516,184.04347312523745,186.1316738225926,143.95138068111746,170.1763790894612,185.930094390338,201.357890334598,220.19309707617992,46.09772228646444,20.615528128088304,10893
50.0,122.723265927859,125.0959631642844,140.45995870709916,183.04371062672436,185.9516066077408,143.39107364128355,169.26015479137433,185.0108104949546,200.94277792446286,220.0545386943882,47.01063709417264,20.248456731316587,10929
50.0,122.48265183282079,124.25779653607253,139.60659010233005,182.04395073717774,185.776747737708,142.8355697996826,168.34488409215172,184.09236811991963,200.53179299053804,219.92044015961773,47.92702786528704,19.924858845171276,10964
50.0,122.24974437601087,123.42204017111368,138.75518008348374,181.04419349981927,185.60711193270586,142.28492541376264,167.4305826305338,183.17477992343814,200.124960961895,219.79080963497995,48.84669896727925,19.6468827043885,11000
50.0,122.0245876862528,122.58874336577564,137.90576492663388,180.0444389588304,185.4427135263071,141.7391971192161,166.5172663719892,182.25805880673698,199.7223072167954,219.66565503054863,49.76946855251722,19.4164878389476,11167
50.0,121.75795661885921,121.80722474467596,137.05838172107534,179.0446871593793,185.28356645962967,141.19844191774922,165.60495161679194,181.34221791960084,199.32385707686876,219.5449840010015,50.695167422546305,19.235384061671343,11333
50.0,120.9297316626478,121.59769734661919,136.2130683891968,178.04493814764857,185.129684275645,140.6627171641441,164.69365500832143,180.42727066604982,198.92963580120485,219.4288039433292,51.62363799656123,19.1049731745428,11500
49.0,120.9297316626478,121.59769734661919,136.2130683891968,178.04493814764857,185.129684275645,140.13208055259867,163.783393541592,179.51323071016242,198.53966858036205,219.31712199461307,51.62363799656123,19.026297590440446,11666
48.0,120.9297316626478,121.59769734661919,136.2130683891968,178.04493814764857,185.129684275645,139.60659010233005,162.87418457201866,178.60011198204776,198.15398053029367,219.20994502987313,51.62363799656123,19.0,11833
47.0,120.9297316626478,121.59769734661919,136.2130683891968,178.04493814764857,185.129684275645,139.08630414242805,161.9660458244258,177.6879286839711,197.7725966861941,219.10727965998757,51.62363799656123,19.026297590440446,11999
46.0,120.9297316626478,121.59769734661919,136.2130683891968,178.04493814764857,185.129684275645,138.5712812959453,161.05899540230592,176.7766952966369,197.39554199626699,219.0091322296858,51.62363799656123,19.1049731745428,18999
